Autor_in	Lebensdaten
Brentano, Clemens	(1778–1842)
Praetorius, Johannes	(1630–1680)
Molière	(1622–1673)
Flex, Walter	(1887–1917)
Lange, Samuel Gotthold	(1711–1781)
Ziegler, Christiane Mariane von	(1695–1760)
Reuter, Christian	(1665–nach 1712)
Fontane, Theodor	(1819–1898)
Murner, Thomas	(1475–1537)
Zola, Émile	(1840–1902)
Klemm, Christian Gottlob	(1736–1802)
Wassermann, Jakob	(1873–1934)
Strachwitz, Moritz von	(1822–1847)
Dahn, Felix	(1834–1912)
Blumauer, Alois	(1755–1798)
Krüger, Bartholomäus	(um 1500–1597)
Bussy-Rabutin, Roger de	(1618–1693)
Meyer, Conrad Ferdinand	(1825–1898)
Marlitt, E.	(1825–1887)
Madách, Imre	(1823–1864)
Törring, Josef August von	(1753–1826)
Kosegarten, Ludwig Gotthard	(1758–1818)
Walpole, Horace	(1717–1797)
Anonym	
Verne, Jules	(1828–1905)
Lessing, Gotthold Ephraim	(1729–1781)
Chateaubriand, François-René de	(1768–1848)
Gerhardt, Paul	(1607–1676)
Bretzner, Christoph Friedrich	(1746–1807)
Meister, Johann Gottlieb	(1665–1699)
Rumpel, Johann Heinrich	(1650–1699)
Pauli, Johannes	(Mitte 15. Jh.–nach 1520)
Hutten, Ulrich von	(1488–1523)
Hurtado de Mendoza, Diego	(1503–1575)
Ayrenhoff, Cornelius von	(1733–1819)
Grimm, Albert Ludwig	(1786–1872)
Gleich, Joseph Alois	(1772–1841)
Gellert, Christian Fürchtegott	(1715–1769)
Gerhäuser, Emil	(1868–1917)
Brandes, Johann Christian	(1735–1799)
Bodin, Jean	(1529/30–1596)
Pichler, Caroline	(1769–1843)
Klabund	(1890–1928)
Greiffenberg, Catharina Regina von	(1633–1694)
Dusch, Johann Jacob	(1725–1787)
Polenz, Wilhelm von	(1861–1903)
Paoli, Betty	(1814–1894)
Gottfried, von Straßburg	(2. Hälfte 12. Jh. – 1. Hälfte 13. Jh.)
Haller, Albrecht von	(1708–1777)
Graesse, Johann Georg Theodor	(1814–1885)
Quistorp, Theodor Johann	(1722–1776)
Suttner, Bertha von	(1843–1914)
Hesiodus	(7. Jh. v. Chr. – ?)
Birck, Sixt	(1501–1554)
Holtei, Karl von	(1798–1880)
Hammer, Matthäus	(1600–1665)
Praetorius, Johann Philipp	(1696–1766)
Engelke, Gerrit	(1890–1918)
Anacreon	(um 580 v. Chr. – 495 v. Chr.)
Riehl, Wilhelm Heinrich	(seit 1883) (1823–1897)
Stendhal	(1783–1842)
Balde, Jakob	(1604–1668)
Twain, Mark	(1835–1910)
Hamerling, Robert	(1830–1889)
Mereau, Sophie	(1770–1806)
Strackerjan, Ludwig	(1825–1881)
Kobolt, Willibald	(1676–1749)
Schubart, Christian Friedrich Daniel	(1739–1791)
Falke, Gustav	(1853–1916)
Gleim, Johann Wilhelm Ludwig	(1719–1803)
Zschokke, Heinrich	(1771–1848)
Schack, Adolf Friedrich von	(1815–1894)
Scheffner, Johann George	(1736–1820)
Bodmer, Johann Jakob	(1698–1783)
Voß, Julius von	(1768–1832)
Conrad, Michael Georg	(1846–1927)
Ziegler und Kliphausen, Heinrich Anselm von	(1663–1697)
Kleist, Heinrich von	(1777–1811)
Weise, Christian	(1642–1708)
Schambach, Georg	(1811–1879) (1812–1890)
Goedsche, Hermann	(1815/1816–1878)
Schlaf, Johannes	(1862–1941)
Rosegger, Peter	(1843–1918)
Rabelais, François	(1494–1553)
Alexis, Willibald	(1798–1871)
Ertler, Bruno	(1889–1927)
Kind, Johann Friedrich	(1768–1843)
Corvinus, Gottlieb Siegmund	(1677–1747)
Spee, Friedrich von	(1591–1635)
Schopenhauer, Johanna	(1766–1838)
Hallmann, Johann Christian	(um 1640–1704/1716)
Bartsch, Karl	(1832–1888)
Hensler, Karl Friedrich	(1759–1825)
Dohm, Hedwig	(1831–1919)
Marguerite, von Navarra	(1492–1549)
Schenkendorf, Max von	(1783–1817)
Reinick, Robert	(1805–1852)
Henckell, Karl	(1864–1929)
Lehnert, Johann Heinrich	(1792–1848)
Haffner, Karl	(1804–1876)
Breuning, Stephan von	(1774–1827)
Sacher-Masoch, Leopold von	(1836–1895)
Dingelstedt, Franz von	(1814–1881)
