wort,hitler,obama
digging,1,2
dignified,4,2
dignity,17,64
dilapidated,1,1
diligently,1,3
dimension,4,1
diminished,1,2
diminishes,1,1
diploma,4,11
diplomacy,6,28
diplomat,8,7
diplomatic,4,8
dire,3,2
direct,24,15
directed,43,4
directing,5,3
direction,32,8
directly,11,11
director,5,4
dirty,2,1
disability,1,9
disadvantage,3,4
disagreeable,4,1
disappear,24,2
disappeared,11,1
disappearing,1,1
disappointed,1,1
disappointment,2,2
disarm,2,1
disarmament,7,1
disaster,21,12
discard,4,1
discern,5,1
discipline,20,6
disciplined,4,1
disclose,2,2
discontent,15,1
discord,3,3
discourage,1,1
discouraged,3,2
discourse,2,8
discover,15,4
discovered,25,1
discovering,2,2
discovery,14,12
discriminate,1,1
discrimination,2,14
discus,9,10
discussed,10,2
discussing,3,3
discussion,34,15
disease,36,21
disguise,7,1
dish,2,1
dishonest,1,1
dismissed,1,2
disorder,1,2
disparaging,1,1
dispel,1,1
displaced,1,3
displacement,2,2
display,9,2
displayed,20,1
displeasure,1,1
disposal,17,1
dispute,12,10
disregard,3,1
disrupt,1,7
disrupting,1,2
disruption,7,7
disruptive,1,1
dissipated,1,1
dissolve,4,1
distance,6,12
distant,6,7
distinct,6,1
distinction,13,4
distinctly,1,1
distinguish,8,1
distinguished,4,8
distorted,2,2
distortion,1,1
distract,4,3
distraction,1,3
distributed,7,2
district,27,15
distrustful,1,1
disturbing,9,1
ditch,1,3
diverse,3,8
divide,5,9
divided,6,9
dividing,1,1
divine,4,2
division,20,22
doctor,3,34
document,6,8
doer,1,1
dog,8,2
dogged,2,1
dogma,8,1
domain,9,1
domestic,11,8
dominant,11,1
dominate,12,1
dominated,7,3
domination,15,1
done,89,150
doom,5,1
doomed,22,1
door,12,31
dose,1,1
double,2,12
doubled,1,11
doubt,25,33
doubted,2,1
doubtful,5,4
dozen,7,5
dr,12,20
draft,1,1
drafted,1,1
drag,11,1
dragged,8,4
dragon,2,1
draining,1,1
dramatic,2,1
drastically,1,1
draw,24,19
drawing,10,5
drawn,13,10
dream,16,85
dreamer,4,6
dreaming,2,2
dress,1,2
drew,3,10
dried,2,1
drill,3,2
drilling,2,14
drink,2,3
drive,9,25
