Autor_in	Lebensdaten
Karl Theodor Müller	(1796–1873)
Bernhard Baader	(ca. 1801–1859)
Johann Peter Uz	(1720–1796)
Ulrich Jahn	(1861–1900)
Karoline von Günderode	(1780–1806)
Friedrich Rudolph Ludwig von Canitz	(1654–1699)
Ferdinand Freiligrath	(1810–1876)
Joseph Anton Stranitzky	(1676–1726)
Anastasius Grün	(1808–1876)
Laurence Sterne	(1713–1768)
Ernst Ludwig Wilhelm Nebel	(1772–1854)
Dorothea Schlegel	(1763–1839)
Robert Müller	(1887–1924)
Gottfried Arnold	(1666–1714)
Ferdinand von Saar	(1833–1906)
Victor Hugo	(1802–1885)
Luise Büchner	(1821–1877)
Johann Joachim Winckelmann	(1717–1768)
O. F. Berg	(1833–1886)
Adele Schopenhauer	(1797-1849)
Friedrich Heinrich Jacobi	(1743–1819)
Alexander Freiherr von Ungern-Sternberg	(1806–1868)
Paul Ernst	(1866–1933)
David Kalisch	(1820–1872)
Johann Heinrich Jung-Stilling	(1740–1817)
Sophokles	(um 495 – um 406 v. Chr.)
Henry von Heiseler	(1875–1928)
Johann Kaspar Lavater	(1741–1800)
Georg Trakl	(1887–1914)
Wilhelm Raabe	(1831–1910)
Friedrich Schiller	(1759–1805)
Théophile Gautier	(1811–1872)
Robert Eduard Prutz	(1816–1872)
Dora Duncker	(1855–1916)
Johann Christian Krüger	(1723–1750)
Annette von Droste-Hülshoff	(1797–1848)
Ferdinand Rosner	(1709–1778)
Friederike Caroline Neuber	(1697–1760)
Nicodemus Frischlin	(1547–1590)
August Friedrich Cranz	(1737–1801)
Adolph L’Arronge	(1838–1908)
Gottlieb Wilhelm Rabener	(1714–1771)
Friedrich von Hagedorn	(1708–1754)
Franz Kafka	(1883–1924)
Adam Mickiewicz	(1798–1855)
Otto Erich Hartleben	(1864–1905)
Felix Dörmann	(1819–1895)
Karl Friedrich Benkowitz	(1764–1807)
Carl Spitteler	(1845–1924)
Jacques Cazotte	(1719–1792)
Hermann von Pückler-Muskau	(1785–1871)
Ignaz Schnitzer	(1839–1921)
Johann Gottfried Schnabel	(1692–1751/1758)
Ivan Aleksandrovič Gončarov	(1812–1891)
Johann Röling	(1634–1679)
Francesco Petrarca	(1304–1374)
Hermann Boßdorf	(1877–1921)
Justus Friedrich Wilhelm Zachariä	(1726–1777)
Johanna Spyri	(1827–1901)
John Cleland	(1789–1789)
Ludwig Eichrodt	(1827–1892)
Wilhelm Jensen	(1837–1911)
August Stramm	(1874–1915)
Adolph Friedrich Ludwig	(1752–1796)
Konrad Alberti	(1862–1918)
Friedrich Gottlieb Klopstock	(1724–1803)
Henriette Frölich	(1768–1833)
Michael Richard Buck	(1832–1888)
Henriette von Paalzow	(1788–1849)
Kaspar Stieler	(1632–1707)
Jakob Ruoff (Ruff)	(1500–1558)
Zacharias Werner	(1768–1823)
Johann Friedrich von Cronegk	(1731–1758)
Friedrich Halm	(1806–1871)
Theodor Colshorn	(1821–1896) (1812–1855)
Joachim Wilhelm von Brawe	(1738–1758)
Adolf von Wilbrandt	(1837–1911)
Andreas Heinrich Buchholtz	(1607–1671)
Nicolaus Götz	(1721–1781)
Daniel Defoe	(1660–1731)
Hermann Kurz	(bis 1848 Kurtz) (1813–1873)
Friedrich Wilhelm Riese	(1805–1879)
Salomon Hermann von Mosenthal	(1821–1877)
Hermann Bote	(vor 1467–1520)
Gustav Meyrink	(1868–1932)
Johann Rist	(1607–1667)
Wolfram von Eschenbach	(1170–1220)
Daniel Casper von Lohenstein	(1635–1683)
Justinus Kerner	(1786–1862)
Gottlieb Konrad Pfeffel	(1736–1809)
Barthold Heinrich Brockes	(1680–1747)
Johann Elias Schlegel	(1719–1749)
Stefan George	(1868–1933)
Louise Aston	(1814–1871)
Christian Felix Weiße	(1726–1804)
Heinrich Mühlpfort	(1639–1681)
Ernst von Wildenbruch	(1845–1909)
Johann Paul Friedrich Richter,	(1763–1825)
Karl Gutzkow	(1811–1878)
Karl Victor Müllenhoff	(1818–1884)
Berthold Auerbach	(1812–1882)
Andreas Gryphius	(1616–1664)
Theodor Gottlieb von Hippel	(1741–1796)
Jeremias Gotthelf	(1797–1854)
Johann Heinrich Merck	(1741–1791)
Charlotte Brontë	(1816–1855)
Helmina von Chézy	(1783–1856)
Friedrich Spielhagen	(1829–1911)
Louise von François	(1817–1893)
Anton Pavlovič Čechov	(1860–1904)
Carl Friedrich Drollinger	(1688–1742)
Johann Martin Miller	(1750–1814)
Georg Wickram	(um 1505 – vor 1562)
Johann Nikolaus Pfitzer	(1634–1674?)
Sebastian Brant	(1457–1521)
Hermann von Lingg	(1820–1905)
Christian Dietrich Grabbe	(1801–1836)
ʿOmar Ḫayyām	(1048–1131)
Johannes Proelß	(1853–1911)
Hollonius, Ludovicus	(um 1570–1621)
Jakob Ayrer	(1544–1605)
Fanny Lewald,	(1811–1889)
Helfrich Peter Sturz	(1736–1779)
Bruno Wille	(1860–1928)
